iter	Passed	Remaining
0	185	185668
1	218	108993
2	247	82108
3	271	67479
4	295	58795
5	320	53102
6	345	48980
7	363	45073
8	383	42198
9	410	40667
10	432	38859
11	459	37803
12	481	36534
13	502	35404
14	527	34647
15	546	33609
16	570	32968
17	594	32415
18	613	31664
19	633	31061
20	654	30497
21	672	29884
22	688	29257
23	704	28651
24	720	28083
25	736	27586
26	754	27203
27	771	26795
28	787	26355
29	802	25951
30	818	25571
31	834	25244
32	849	24904
33	864	24558
34	878	24219
35	894	23940
36	909	23660
37	924	23392
38	939	23158
39	957	22976
40	977	22869
41	1001	22844
42	1023	22784
43	1048	22780
44	1073	22780
45	1099	22800
46	1128	22882
47	1168	23176
48	1198	23263
49	1228	23334
50	1248	23235
51	1272	23189
52	1291	23068
53	1313	23011
54	1332	22889
55	1351	22788
56	1374	22743
57	1395	22670
58	1415	22573
59	1432	22445
60	1448	22294
61	1465	22168
62	1490	22168
63	1506	22034
64	1520	21878
65	1537	21761
66	1551	21611
67	1565	21457
68	1579	21307
69	1593	21175
70	1612	21103
71	1628	20991
72	1643	20867
73	1659	20771
74	1675	20658
75	1694	20600
76	1718	20597
77	1737	20536
78	1755	20462
79	1774	20403
80	1794	20357
81	1814	20312
82	1834	20267
83	1854	20223
84	1874	20174
85	1897	20170
86	1919	20141
87	1938	20086
88	1964	20111
89	1985	20071
90	2003	20014
91	2023	19967
92	2048	19978
93	2071	19961
94	2096	19969
95	2118	19950
96	2138	19909
97	2162	19907
98	2184	19877
99	2205	19850
100	2231	19864
101	2268	19972
102	2296	19997
103	2316	19961
104	2341	19957
105	2364	19944
106	2384	19896
107	2408	19896
108	2432	19886
109	2454	19861
110	2477	19842
111	2499	19815
112	2527	19835
113	2547	19799
114	2574	19815
115	2597	19791
116	2622	19790
117	2643	19760
118	2666	19741
119	2689	19721
120	2706	19662
121	2725	19617
122	2745	19574
123	2771	19577
124	2793	19554
125	2819	19559
126	2839	19517
127	2859	19477
128	2881	19455
129	2902	19423
130	2922	19388
131	2950	19400
132	2969	19354
133	2988	19316
134	3014	19317
135	3035	19282
136	3055	19247
137	3081	19245
138	3100	19206
139	3118	19157
140	3139	19124
141	3162	19105
142	3184	19083
143	3203	19045
144	3221	18993
145	3245	18984
146	3266	18951
147	3287	18924
148	3306	18886
149	3328	18862
150	3350	18835
151	3371	18812
152	3390	18770
153	3412	18744
154	3431	18705
155	3450	18668
156	3476	18667
157	3496	18634
158	3517	18604
159	3538	18576
160	3558	18542
161	3579	18517
162	3599	18482
163	3619	18450
164	3643	18439
165	3663	18408
166	3686	18386
167	3707	18359
168	3727	18330
169	3747	18298
170	3772	18289
171	3791	18253
172	3813	18230
173	3836	18214
174	3859	18196
175	3879	18164
176	3905	18160
177	3926	18130
178	3948	18108
179	3968	18079
180	3990	18055
181	4019	18065
182	4040	18040
183	4063	18022
184	4089	18015
185	4110	17988
186	4134	17973
187	4157	17957
188	4185	17958
189	4206	17932
190	4235	17941
191	4256	17914
192	4285	17918
193	4306	17893
194	4334	17895
195	4363	17900
196	4385	17876
197	4413	17875
198	4434	17847
199	4455	17820
200	4481	17815
201	4502	17785
202	4521	17752
203	4542	17724
204	4564	17701
205	4588	17686
206	4611	17667
207	4634	17645
208	4652	17606
209	4675	17587
210	4696	17562
211	4717	17534
212	4735	17496
213	4758	17478
214	4779	17450
215	4797	17414
216	4813	17367
217	4839	17361
218	4861	17338
219	4881	17305
220	4900	17273
221	4917	17234
